Total List of 2022 American Films,,Randomized List of 60,Randomized List of 60 (parsed),Budget,Box Office,RT Score,,,,,
1Up,1,Fantastic Beasts: The Secrets of Dumbledore,Fantastic+Beasts:+The+Secrets+of+Dumbledore,"$200,000,000","$95,850,844",46%,,,,,
5000 Blankets,2,Amsterdam,Amsterdam,"$80,000,000","$14,947,969",32%,,,,,
7 Days,3,Halloween Ends,Halloween+Ends,"$20,000,000","$64,079,860",40%,,,,,
A Chiara,4,Everything Everywhere All at Once,Everything+Everywhere+All+at+Once,"$25,000,000","$74,334,294",94%,,Budget,"=getBudget(""Morbius"")",,"$75,000,000"
A Christmas Mystery,5,Bones and All,Bones+and+All,"$18,000,000","$7,834,907",82%,,Box Office,"=getBoxOffice(""Morbius"")",,"$73,865,530"
A Christmas Story Christmas,6,Easter Sunday,Easter+Sunday,"$17,000,000","$13,013,690",43%,,RT Score,"=getRottenTomatoes(""The+Batman"")",,85%
A Day to Die,7,Tár,Tár,"$35,000,000","$6,773,650",90%,,,,,
A Fairy Tale After All,8,Smile,Smile,"$17,000,000","$105,935,048",80%,,,,,
A Hollywood Christmas,9,Dog,Dog,"$20,000,000","$61,778,069",77%,,,,,
A Jazzman's Blues,10,Barbarian,Barbarian,"$4,500,000","$40,842,944",93%,,,,,
A Love Song,11,Puss in Boots: The Last Wish,Puss+in+Boots:+The+Last+Wish,"$90,000,000","$179,729,150",95%,,,,,
A Madea Homecoming,12,Hellraiser,Hellraiser,"$14,000,000","$14,564,027",70%,,,,,
A Man Called Otto,13,Babylon,Babylon,"$78,000,000","$15,351,455",56%,,,,,
Abandoned,14,Black Panther: Wakanda Forever,Black+Panther:+Wakanda+Forever,"$250,000,000","$453,829,060",84%,,,,,
After Ever Happy,15,The Bob's Burgers Movie,The+Bob's+Burgers+Movie,"$38,000,000","$31,933,830",88%,,,,,
After Yang,16,The King's Daughter,The+King's+Daughter,"$40,500,000","$1,758,963",20%,,,,,
Aftersun,17,The Whale,The+Whale,"$3,000,000","$16,966,332",65%,,,,,
Alice,18,Death on the Nile,Death+on+the+Nile,"$90,000,000","$45,630,104",62%,,,,,
"Alice, Darling",19,Marry Me,Marry+Me,"$23,000,000","$22,438,180",61%,,,,,
All Quiet on the Western Front,20,See How They Run,See+How+They+Run,"$40,000,000","$9,586,237",75%,,,,,
All the Old Knives,21,Three Thousand Years of Longing,Three+Thousand+Years+of+Longing,"$60,000,000","$8,286,741",71%,,,,,
Allegoria,22,Father Stu,Father+Stu,"$4,000,000","$21,090,677",41%,,,,,
Alone Together,23,Lightyear,Lightyear,"$200,000,000","$118,307,188",74%,,,,,
Along for the Ride,24,Clerks III,Clerks+III,"$7,000,000","$4,663,106",62%,,,,,
Ambulance,25,The Woman King,The+Woman+King,"$50,000,000","$67,328,130",94%,,,,,
American Siege,26,The Black Phone,The+Black+Phone,"$17,000,000","$90,123,230",83%,,,,,
Amsterdam,27,Jeepers Creepers: Reborn,Jeepers+Creepers:+Reborn,"$5,000,000","$2,033,057",0%,,,,,
Anything's Possible,28,Scream,Scream,"$24,000,000","$103,046,663",80%,,,,,
Apollo 10 1⁄2: A Space Age Childhood,29,Paws of Fury: The Legend of Hank,Paws+of+Fury:+The+Legend+of+Hank,"$45,000,000","$17,811,382",54%,,,,,
Armageddon Time,30,Sonic the Hedgehog 2,Sonic+the+Hedgehog+2,"$110,000,000","$190,872,904",69%,,,,,
Avatar: The Way of Water,31,The Menu,The+Menu,"$35,000,000","$38,501,125",88%,,,,,
Babylon,32,Ticket to Paradise,Ticket+to+Paradise,"$20,000,000","$68,275,985",56%,,,,,
Barbarian,33,"Lyle, Lyle, Crocodile","Lyle,+Lyle,+Crocodile","$50,000,000","$46,888,441",72%,,,,,
Beast,34,X,X,"$10,000,000","$11,765,309",94%,,,,,
Beauty,35,Uncharted,Uncharted,"$120,000,000","$148,648,820",41%,,,,,
Beavis and Butt-Head Do the Universe,36,Whitney Houston: I Wanna Dance with Somebody,Whitney+Houston:+I+Wanna+Dance+with+Somebody,"$50,000,000","$23,708,080",44%,,,,,
Benediction,37,She Said,She+Said,"$32,000,000","$5,825,995",88%,,,,,
Better Nate Than Ever,38,Terrifier 2,Terrifier+2,"$250,000","$10,640,105",85%,,,,,
Bitch Ass,39,Moonfall,Moonfall,"$146,000,000","$19,060,660",36%,,,,,
Black Adam,40,Jurassic World Dominion,Jurassic+World+Dominion,"$165,000,000","$376,851,080",29%,,,,,
Black Panther: Wakanda Forever,41,Fall,Fall,"$3,000,000","$7,240,521",79%,,,,,
Blacklight,42,The Batman,The+Batman,"$185,000,000","$369,345,583",85%,,,,,
Blonde,43,Avatar: The Way of Water,Avatar:+The+Way+of+Water,"$350,000,000","$681,919,456",76%,,,,,
Bodies Bodies Bodies,44,Top Gun: Maverick,Top+Gun:+Maverick,"$170,000,000","$718,732,821",96%,,,,,
Bones and All,45,The Northman,The+Northman,"$70,000,000","$34,233,110",90%,,,,,
Breaking,46,Strange World,Strange+World,"$180,000,000","$37,968,963",72%,,,,,
Bros,47,White Noise,White+Noise,"$10,000,000","$56,386,759",7%,,,,,
Bullet Train,48,Bros,Bros,"$100,000,000","$11,628,165",89%,,,,,
Call Jane,49,Firestarter,Firestarter,"$12,000,000","$17,080,167",38%,,,,,
Catherine Called Birdy,50,Dual,Dual,"$4,500,000","$185,212",70%,,,,,
Causeway,51,The Bad Guys,The+Bad+Guys,"$80,000,000","$97,233,630",88%,,,,,
Cha Cha Real Smooth,52,The Lost City,The+Lost+City,"$74,000,000","$105,344,029",79%,,,,,
Cheaper by the Dozen,53,Blacklight,Blacklight,"$43,000,000","$9,591,094",11%,,,,,
Chip 'n Dale: Rescue Rangers,54,Nope,Nope,"$68,000,000","$123,277,080",83%,,,,,
Choose or Die,55,Morbius,Morbius,"$75,000,000","$73,865,530",16%,,,,,
Christmas with You,56,Thor: Love and Thunder,Thor:+Love+and+Thunder,"$250,000,000","$343,256,830",63%,,,,,
Clean,57,Devotion,Devotion,"$90,000,000","$20,511,938",80%,,,,,
Clerks III,58,The Unbearable Weight of Massive Talent,The+Unbearable+Weight+of+Massive+Talent,"$30,000,000","$20,300,157",87%,,,,,
"Confess, Fletch",59,Pearl,Pearl,"$1,000,000","$9,423,445",92%,,,,,
Corrective Measures,60,Cyrano,Cyrano,"$20,000,000","$3,873,124",85%,,,,,
Crimes of the Future,,The Invitation,The+Invitation,"$10,000,000","$231,737",89%,,,,,
Crush,,Violent Night,Violent+Night,"$20,000,000","$50,028,650",73%,,,,,
Cyrano,,Downton Abbey: A New Era,Downton+Abbey:+A+New+Era,"$40,000,000","$44,141,550",86%,,,,,
Darby and the Dead,,Minions: The Rise of Gru,Minions:+The+Rise+of+Gru,"$85,000,000","$369,695,210",70%,,,,,
Dashcam,,Black Adam,Black+Adam,"$200,000,000","$168,152,111",38%,,,,,
Day Shift,,Elvis,Elvis,"$85,000,000","$151,040,048",77%,,,,,
DC League of Super-Pets,,Ambulance,Ambulance,"$40,000,000","$22,781,115",68%,,,,,
Dead for a Dollar,,Infinite Storm,Infinite+Storm,"$4,749,917","$1,600,543",55%,,,,,
Dear Zoe,,A Man Called Otto,A+Man+Called+Otto,"$50,000,000","$64,035,017",69%,,,,,
Death on the Nile,,Bullet Train,Bullet+Train,"$90,000,000","$103,368,602",54%,,,,,
Deep Water,,Jackass Forever,Jackass+Forever,"$10,000,000","$57,743,451",85%,,,,,
Delia's Gone,,The Fabelmans,The+Fabelmans,"$40,000,000","$17,344,045",92%,,,,,
